SEP,Type,SBOL Version,Status,Issue,Title,Replaces,Created,Last modified,Editor,Authors
035,Data Model,2.4,Draft,https://github.com/SynBioDex/SEPs/issues/80,Interactions and Models on ComponentDefinition,,14-July-2019,,James McLaughlin,Jacob Beal (<jakebeal@ieee.org>)
036,Data Model,3.0,Draft,https://github.com/SynBioDex/SEPs/issues/81,Externally grounded components,,14-July-2019,26-Jan-2020,Zach Palchick,Jacob Beal (<jakebeal@ieee.org>)
037,Data Model,3.0,Draft,https://github.com/SynBioDex/SEPs/issues/82,Component References,,14-July-2019,6-Feb-2020,James  McLaughlin,Jacob Beal (<jakebeal@ieee.org>)
038,Data Model,3.0,Draft,https://github.com/SynBioDex/SEPs/issues/85,SBOL3 Identity URIs,,22-Nov-2019,,Hasan Baig,Jacob Beal (<jakebeal@ieee.org>)
039,Data Model,3.0,Draft,https://github.com/SynBioDex/SEPs/issues/87,Making SBOL more Semantic Web friendly,,06-Nov-2019 <current date>,,Hasan Baig,Goksel Misirli (g.misirli@keele.ac.uk)
040,Data Model,3.0,Draft,https://github.com/SynBioDex/SEPs/issues/88,Change BioPAX to SBO,,10-Jan-2020,10-Jan-2020,,Jacob Beal (jakebeal@ieee.org)
041,Data Model,3.0,Draft,https://github.com/SynBioDex/SEPs/issues/89,Make all sequence associations explicit,,22-Jan-2020,22-Jan-2020,,Jacob Beal (jakebeal@ieee.org)
042,Data Model,3.0,Draft,https://github.com/SynBioDex/SEPs/issues/90,Make Interfaces Explicit,,22-Jan-2020,22-Jan-2020,,Jacob Beal (jakebeal@ieee.org)
043,Data Model,3.0 or 3.1,Draft,https://github.com/SynBioDex/SEPs/issues/91,Local SubComponents,,24-Jan-2020,26-Jan-2020,,Jacob Beal (jakebeal@ieee.org)
044,Data Model,3.0,Draft,https://github.com/SynBioDex/SEPs/issues/92,Unify Structural Information,,25-Jan-2020,6-Feb-2020,,Jacob Beal (jakebeal@ieee.org)
045,Data Model,3.0 or 3.1,Draft,https://github.com/SynBioDex/SEPs/issues/93,Expand set of SequenceConstraint relations,,24-Jan-2020,6-Feb-2020,,Jacob Beal (jakebeal@ieee.org)
